,title
0,果然還是福伯演的 #印第安納瓊斯 最對味！那個BGM一下整個回憶湧現～怎麼眼眶一摸濕濕的...雙眼都快看不清了啦（阿迪仔）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】…… 顯示更多
1,一生一次的浪漫婚禮，突然被一群壞人破壞會氣氣氣氣氣ㄟXD而且還要穿著婚紗在叢林裡逃跑、跟歹徒火拼真的是太辛苦 #珍妮佛羅培茲 了（珊迪）最新夯電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG…… 顯示更多
2,60歲這身體還能滑水跳躍！星爺這身體裡住著一位年輕人啊（阿迪仔）【追星消息都在星光雲APPhttps://goo.gl/DxAfcG】#周…… 顯示更多
3,這次換成女兒尋找媽媽，而且規模更直接拉到跨國搜索啦！而且怎麼查到後面...媽媽感覺秘密有夠多ㄟΣ(*ﾟдﾟﾉ)ﾉ第一集上映後大獲好評，也讓人更加期待第二集惹（珊迪）不看電影會死  都在星光雲App：https://goo.gl/DxAfcG…… 顯示更多
4,看一看想吃日式「拿坡里義大利麵」惹～～～～～（羊羹）娛樂最快訊 都在星光雲App：https://goo.gl/DxAf
5,小詩甚至曾登上2021東京奧運閉幕式！！！（羊羹）娛樂最快訊 都在星光雲App：https://goo.gl/DxAf
6,肯爺又爆走了.....然後帳號又被封了......（羊羹）娛樂最快訊 都在星光雲App：https://goo.gl/DxAf
7,原來2019年還有發生這件事情！！！難怪南韓人會失望啊QAQ（羊羹）星光雲App掌握明星大小事：https://goo.gl/DxAfcG
8,鞋貓劍客超萌回歸！經過多年冒險犯難的貓生，九條命已用八條…..名揚四海的鞋貓劍客，不得不退隱成為一隻家貓此時，傳說中的許願星出現了，鞋貓劍客只能放下身段，向前任搭檔和死對頭求助鞋貓劍客能不能趕在眾多競爭對手前，奪得重新復出的唯一希望呢?…… 顯示更多
9,威～#佐藤健 竟然給我在擔架上睡著好啦砂糖不管做什麼我都愛ヽ(●´∀`●)ﾉ（小短腿）【影劇大小事不漏接！快來下載星光雲APP  https://goo.gl/DxAfcG 】N…… 顯示更多
10,甜美的依晨轉變為暴衝型女摔角手這個反差感，我的期待值瞬間破表啦！（小短腿）不看電影會死  都在星光雲App：https://goo.gl/DxAfcGA…… 顯示更多
11,尖叫聲！我們星爵和蟻人回來啦(ﾉ>ω<)ﾉ真的不是在作夢，明年就能看到了（小短腿）不看電影會死  都在星光雲App：https://goo.gl/DxAfcGM…… 顯示更多
12,#隋棠 百變女神的稱號完全實至名歸！當媽一樣辣到翻！兒子也超級帥氣啦（小短腿）不看電影會死  都在星光雲App：https://goo.gl/DxAfcG隋…… 顯示更多
13,教練我想打籃球！！！！安西教練一出場，我的眼淚瞬間要飆出來啦（小短腿）不看電影會死  都在星光雲App：https://goo.gl/DxAfcG#…… 顯示更多
14,老師！請幫我下一首《你是風兒我是沙》（威！就讓正在拍攝《沙丘2》的 #贊達亞來為大家詮釋如何在沙漠中拍出時尚感XD這飄逸的頭髮、高傲的眼神果然是自帶氣場的Zendaya，隨意一拍就是滿滿的時尚呀（珊迪）…… 顯示更多
15,有錢上流，沒錢下流！？網紅情侶的豪華遊輪之旅刷臉就能換門票，認識各式各樣的超級有錢人，竟因為一場暴風雨，讓香檳當水的頂級奢華饗宴一夕變成失控的人性戰爭！=== 瘋狂花錢的方法就在《#瘋狂富作用》===活動時間：即刻起至12/5(一)上午10:00止，當天公布名單於本貼文及留言處。活動獎項：《瘋狂富作用》電影交換券*共抽20組(1組兩張)…… 顯示更多
16,墨西哥演員 #亞歷杭德羅普恩特  Alejandro Puente近日登上時尚雜誌！！！真的不愧是靠著演技席捲家鄉的人不然怎麼各種造型都可以輕鬆駕馭啦！！！（羊羹）…… 顯示更多
17,這5部都讓人好期待說QAQ已經等不及看到 #胡歌 的新戲了（小短腿）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】
18,住進疫情旅館卻是噩夢的開始！蟲蟲們還會吃人還能附身在人身上！怕蟲的Me看到一群蜈蚣直接頭皮發麻欸...（阿迪仔）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】…… 顯示更多
19,劇情轉折在轉折！節奏緊湊到不行這次新篇章升級有感！沒看得趕快去看～（阿迪仔）電影就是生命  星光雲APP給你最新資訊：https://goo.gl/DxAfcG#…… 顯示更多
20,迪士尼又有新的方城市系列啦～這次的火小姐和水先生怎麼好像有點促咪餒（甩妮）CR： 迪士尼影業 …… 顯示更多
21,劇情更緊張刺激！爆破場面比上一季更浩大！沒想到第2部這麼快就來了～哎一古～終於解決了小編這一陣子的劇荒呀（阿迪仔）【影劇大小事不漏接！快來下載星光雲APP  https://goo.gl/DxAfcG 】…… 顯示更多
22,小天后泰勒絲果然也上榜了！！！（羊羹）星光雲App掌握明星大小事：https://goo.gl/DxAfcG
